,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,DistanceFromHome,Education,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,absences_days,mean_actual_hours,Non-Travel,Travel_Frequently,Travel_Rarely,Human Resources,Research & Development,Sales,Life Sciences,Marketing,Medical,Other,Technical Degree,Healthcare Representative,Laboratory Technician,Manager,Manufacturing Director,Research Director,Research Scientist,Sales Executive,Sales Representative,Divorced,Married,Single
0,1,3.0,4.0,2.0,3,3,51,0.0,6,2,0.0,1,131160,1.0,11,0,1.0,6,1,0,0,17,6.48,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,3.0,2.0,4.0,2,4,31,1.0,10,1,0.0,1,41890,0.0,23,1,6.0,3,5,1,4,13,6.82,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,3,2.0,2.0,1.0,3,3,32,0.0,17,4,1.0,4,193280,1.0,15,3,5.0,2,5,0,3,7,6.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,4,4.0,4.0,3.0,2,3,38,0.0,2,5,1.0,3,83210,3.0,11,3,13.0,5,8,7,5,14,6.39,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,5,4.0,1.0,3.0,3,3,32,0.0,10,1,1.0,1,23420,4.0,12,2,9.0,2,6,0,4,4,7.34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,6,3.0,2.0,2.0,3,3,46,0.0,8,3,0.0,4,40710,3.0,13,0,28.0,5,7,7,7,12,9.74,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,7,1.0,3.0,1.0,3,4,28,1.0,11,2,1.0,2,58130,2.0,20,1,5.0,2,0,0,0,17,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,8,1.0,2.0,3.0,3,4,29,0.0,18,3,1.0,2,31430,2.0,22,3,10.0,2,0,0,0,6,6.02,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8,9,2.0,4.0,3.0,3,4,31,0.0,1,3,1.0,3,20440,0.0,21,0,10.0,2,9,7,8,19,6.31,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,10,2.0,1.0,3.0,3,3,25,0.0,7,4,0.0,4,134640,1.0,13,1,6.0,2,6,1,5,15,6.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,11,3.0,4.0,3.0,2,3,45,0.0,17,2,1.0,2,79910,0.0,13,2,21.0,2,20,4,10,8,7.69,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,12,3.0,4.0,3.0,3,3,36,0.0,28,1,1.0,1,33770,0.0,12,2,16.0,2,15,10,11,8,6.35,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,13,4.0,1.0,3.0,3,3,55,0.0,14,4,0.0,1,55380,0.0,17,0,37.0,2,36,4,13,20,8.17,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
